#			baseline	gc_epml 	gc_vanilla	gc_pml	
GCBench			6057.5		6182.9		8297		8183	
histogram		7362.127	7506.2394	8765.950	8811.383
kmeans			9974.1235	10011.4566	10107.7625	10084.3555
matrix-mult		3919.8545	3946.1206	3966.246	4360.477
#pca			439.8555	465.5254	470.872		476.224
string-match		124.283		154.6938	413.387		464.050
word-count		1769.645	1798.9940	2042.378	2107.4505
